,Event,Date,Organizer,Location
0,Ответственность + Troika Consulting,26 июня 2019 г.,Liberating Structures Russia,Moskva
0,SharePoint and Office 365 Moscow Meetup #3,30 мая 2019 г.,SharePoint and Office 365 Community Moscow,Moskva
0,BDAM: Большие данные Big Data для руководителей,12 февраля 2020 г.,BigDataSchool,Москва
0,«Веб-погружение» — 6-часовой интенсив по созданию сайтов для начинающих,15 декабря 2018 г.,WordPress Moscow,Москва
0,Flutter Interact Worldwide,11 декабря 2019 г.,GDG Moscow,Moskva
0,IT61job Meetup: OKR,23 января 2020 г.,Rostov IT Events,Ростов
0,Постгрес-вторник [На английском!] ÁLVARO HERNÁNDEZ (OnGres.com),17 марта 2020 г.,#RuPostgres,
0,Peer-to-peer Database на коленке.,10 октября 2013 г.,Krasnodar MongoDB User Group,Краснодар
0,Arduino : Поиграем в Дуэль !,29 сентября 2019 г.,GDG Krasnodar,Краснодар
0,GopherCon Russia 2020,28 марта 2020 г.,Golang Москва,Moskva
0,Data Management Platform в автобизнесе,26 декабря 2019 г.,Автобизнес новой реальности,Москва
0,DevOps40 Octo,17 октября 2019 г.,DevOps-40,Saint Petersburg
0,Moscow English Speaking Club for Programmers SPEAK++,4 января 2020 г.,Moscow English Speaking Club for Programmers SPEAK++,Moskva
0,"Начало недели с Atlassian! Финал JiraOps-саги, Эпики и порядок в Confluence",3 июня 2019 г.,Ufa Atlassian User Group,Уфа
0,Двадцатый юбилейный митап Сообщества блокчейн-разработчиков Санкт-Петербурга,23 мая 2019 г.,St. Petersburg BlockChain Community Meetup,Санкт-Петербург
0,How to Succeed with Branding and Pitching Your Startup in Moscow,18 сентября 2019 г.,Moscow Startup Founder 101,Moskva
0,ManyChat PHP MeetUp «Performance talks»,12 июля 2019 г.,ManyChat events,Moskva
0,MSK VUE.JS MEETUP #3,19 сентября 2019 г.,MSK VUE.JS,Moskva
0,English Club with Nataly — Better conversations,16 февраля 2020 г.,English Club with Nataly,
0,Постгрес-вторник,31 марта 2020 г.,#RuPostgres,
0,Собрание стартап клуба,5 января 2020 г.,Стартап клуб,Москва
0,Вопросы безопасности сети предприятия на платформе Windows,17 мая 2018 г.,Сообщество IT Pro в Москве,Москва
0,Предварительно: сессия про Power Linux. Детали - позже.,29 марта 2018 г.,IBM Power Moscow.,
0,Power AI Vision (искусственный интеллект для обработки видео и фото),22 июня 2018 г.,IBM Power Moscow.,Москва
0,GDG DevOps MeetUp,11 февраля 2020 г.,GDG Izhevsk,Ижевск
0,Квартирник Модель мира,21 марта 2020 г.,FoundersDevelopers / WorldModel,Moskva
0,9 встреча Сообщества/1 митап WTD Russia - на IT Global Meetup #10,14 мая 2017 г.,Write the Docs St. Petersburg,Санкт-Петербург
0,Открытая встреча Российской рабочей группы по стандартизации С++,4 декабря 2018 г.,Yandex St.Petersburg Events for Developers,Saint Petersburg
0,Symfony Moscow Meetup - Symfoniacs - #11 (8bit group),14 декабря 2016 г.,Symfony Moscow Meetup - Symfoniacs,
0,South DevFest 2019,12 октября 2019 г.,GDG Rostov-on-Don,Rostov-on-Don
0,Scala NN Meetup #0,13 июня 2019 г.,Scala NN,Нижний Новгород
0,Dynamics 365 BC: апрельский релиз. Москва,25 апреля 2019 г.,Dynamics365 Russian User Group,Moskva
0,IT talk SPb «Почему все так плохо» или «Почему IT-продукты такие плохие»,12 марта 2020 г.,DataArt Events,Sankt-Peterburg
0,"React Meetup #2 (Virtual Dom, React Hooks, React Native)",2 марта 2019 г.,React NSK,Новосибирск
0,"Fast Track Your Data - Live from Munich, Germany",22 июня 2017 г.,Apache Spark in Moscow,85716 Unterschleibheim
0,FP Specialty #6,7 декабря 2019 г.,Functional Programming Specialty,Новосибирск
0,InterSystems Meetup в Москве,11 декабря 2018 г.,Moscow InterSystems Developer Community Meetup,Москва
0,DataWorks Summit Berlin – Submit Your Abstract Now!,15 декабря 2017 г.,Big Data Developers in Moscow,Москва
0,"""Я твоя понимай"" или Microsoft Cognitive Services",17 декабря 2016 г.,Ivanovo IT Garage,Иваново
0,Собрание стартап клуба,26 января 2020 г.,Стартап клуб,Москва
0,Apache Ignite®  Meetup #7,3 декабря 2019 г.,Moscow Apache Ignite®  Meetup,Moskva
0,Zabbix Moscow,27 июня 2015 г.,Zabbix Moscow Meetup,Москва
0,Cryptography. First Meetup of the Club,30 июня 2019 г.,Cyber Security Club Moscow,Москва
0,Open Source Networking meet-up - now in MAIL.RU #2.2019,6 марта 2019 г.,Open Source Networking User Group Moscow,Moskva
0,"Meta-Meetup ""Хакатон под ключ""",20 сентября 2016 г.,Moscow Open Data Development Meetup,Москва
0,Яндекс изнутри: качество поиска,22 мая 2018 г.,Yandex St.Petersburg Events for Developers,Saint Petersburg
0,"WordPress Meetup #11. Асинхронность, мультисайт и SEO",13 января 2017 г.,Saint-Petersburg WordPress Community,Санкт-Петербург
0,I/O Extended 2017 Samara,24 мая 2017 г.,Google Developer Group Samara,Самара
0,JavaScript Party,25 октября 2017 г.,Yandex Novosibirsk Events for Developers,Новосибирск
0,Fuckup Nights Vol. XIV,4 октября 2018 г.,Digital October,Москва
0,Встреча номер 10,2 февраля 2018 г.,Write the Docs St. Petersburg,Санкт-Петербург
0,"""Efficient GPGPU programming"" и ""Non-conforming C++""",5 сентября 2019 г.,St. Petersburg C++ User Group,Sankt-Peterburg
0,Android Academy - Hackathon,21 июня 2019 г.,GDG St. Petersburg,Sankt-Peterburg
0,DevDay 2019,6 апреля 2019 г.,Ivanovo IT Garage,Иваново
0,Анализ данных и управленческая отчетность в Google Spreadsheets,9 декабря 2019 г.,Moscow School of Business Analysis,Москва
0,Scala Meetup Екатеринбург 30.05.19,30 мая 2019 г.,Ekb Scala User Group,Екатеринбург
0,Build Actions for your Community,19 июня 2018 г.,GDG Ufa,Уфа
0,Agile meetup#10,16 мая 2019 г.,AgileNSK,Новосибирск
0,PRODUCTS SPB OPEN SPACE MEETUP,21 февраля 2017 г.,AgilePeople_Spb,
0,WTM Meetup #1,8 ноября 2019 г.,GDG Moscow,Moskva
0,Семинар #8: Intrinsically motivated RL,2 августа 2016 г.,Deep learning Moscow,Москва
0,Embedded Meetup SPb,24 августа 2019 г.,Embedded Systems Meetup St. Petersburg,Sankt-Peterburg
0,English Club with Nataly — English.Light (Elementary & Pre-Intermediate),8 марта 2020 г.,English Club with Nataly,
0,Hyperledger Moscow Meetup,7 ноября 2018 г.,Hyperledger Moscow,Москва
0,TeamLead SPb Meetup #2,10 октября 2019 г.,TeamLead SPb Meetup,Sankt-Peterburg
0,PyData,15 февраля 2018 г.,PyData SPb,Saint Petersburg
0,Value Stream Meetup,10 апреля 2018 г.,Scaling Agile Russia Meetup,Москва
0,OllyDbg seminar,1 марта 2017 г.,Yekaterinburg Geeks Meetup,Екатеринбург
0,First welcome meetup with magnificent workshop and delicious pizza,20 мая 2017 г.,Kubernetes Novosibirsk,Новосибирск
0,Moscow Python Beer Meetup №18,28 ноября 2019 г.,Moscow Python Beer Meetup,Москва
0,Docker Meetup #10,21 августа 2019 г.,Docker Novosibirsk,Новосибирск
0,Общие вопросы электронной коммерции,17 октября 2019 г.,Ecommerce Mastermind,
0,Введение в генетические алгоритмы и снова Технический долг,3 октября 2019 г.,Московский клуб программистов,Москва
0,SPbR #16,20 февраля 2020 г.,St. Petersburg R User Group,Sankt-Peterburg
0,"Google Data Studio создание диаграмм, коннекторов и взаимодействие с Big Query",13 июня 2019 г.,GDG Cloud Yaroslavl,Yaroslavl'
0,Go Study Innopolis Lesson 3,20 февраля 2020 г.,GDG Cloud Innopolis,Innopolis
0,GDG Webdev #1,31 июля 2018 г.,GDG Tyumen,Tyumen
0,IT Recruiter Meetup#2,28 октября 2019 г.,SPb IT Recruiter,Sankt-Peterburg
0,Data Natives 2019,25 ноября 2019 г.,"Big Data, Moscow",Берлин
0,Второй митап сообщества VolgaJS,27 ноября 2019 г.,Saratov IT,Саратов
0,Docker Birthday #4,8 апреля 2017 г.,Docker Novosibirsk,Новосибирск
0,Воркшоп по гибким навыкам «Решение рабочих конфликтов»,8 февраля 2020 г.,Rostov IT Events,Таганрог
0,Machine Learning Everywhere. Build your ladder to AI.,27 февраля 2018 г.,Apache Spark in Moscow,
0,Семинар по разработке демо под ZX-Spectrum,7 декабря 2019 г.,Embedded Systems Meetup St. Petersburg,Saint Petersburg
0,NEO Blockchain Сommunity Meetup in St. Petersburg,30 ноября 2018 г.,NEO Blockchain Community in Saint Petersburg,Санкт-Петербург 
0,Как проектному менеджеру мутировать в продуктового и пройти собеседование,5 июня 2019 г.,"Цифровые трансформации(Облака, Agile, PM)",Moskva
0,Новый быстрый хакатон Budget Sprint 2.0,15 октября 2017 г.,Moscow Open Data Development Meetup,Москва
0,Devleads Meetup,28 мая 2019 г.,Revolut Tech Russia,Moskva
0,Moscow English Speaking Club for Programmers SPEAK++,21 марта 2020 г.,Moscow English Speaking Club for Programmers SPEAK++,Moskva
0,Data Fest³,10 сентября 2016 г.,Moscow Data Fest,Москва
0,Drupal Global Contribution Weekend 2019,26 января 2019 г.,[Any] Digital Moscow,Moskva
0,St. Petersburg Rust Meetup,8 декабря 2019 г.,SPb Rust Community,Sankt-Peterburg
0,The IDesign Method - System Design,14 декабря 2015 г.,Software Architecture and Project Design Moscow,
0,Коворкинг как актуальный метод управления недвижимостью,10 апреля 2017 г.,Moscow Tech Meetup,Москва
0,Третья встреча,10 октября 2015 г.,Tomsk Front-end Development Meetup,Томск
0,PiterPy Meetup Hacktoberfest Open Source Sprint 2019.2,26 октября 2019 г.,PiterPy Meetup,Saint Petersburg
0,DevOps Moscow in DevConfX,21 июня 2019 г.,DevOps Moscow in Russian,Moskva
0,Software Freedom Day Saratov 2019,21 сентября 2019 г.,Saratov IT,Саратов
0,HIVE: Hadoop SQL Hive администратор,19 февраля 2020 г.,BigDataSchool,Москва
0,Security Meetup Mail.Ru Group,15 сентября 2017 г.,Positive Development User Group,
0,"Growth Chat with Bayram Annakov, CEO & Founder of App in the Air",15 сентября 2016 г.,Mobile Growth Moscow,https://mobilegrowth.org/growthc
0,Вторая встреча,12 сентября 2015 г.,Tomsk Front-end Development Meetup,Томск
0,Ansible meetup,27 января 2016 г.,Ansible SPb,Санкт-Петербург
0,146% практики. Захватите свой ноутбук!,3 июля 2013 г.,Krasnodar MongoDB User Group,Краснодар
0,DevFest 2018. Another south,17 ноября 2018 г.,GDG Krasnodar,Краснодар
0,Встреча SpbDotNet №49,15 августа 2019 г.,SpbDotNet,
0,Общегородская встреча сообщества HashiCorp User Group #13,6 ноября 2018 г.,"St. Petersburg, Russia HashiCorp User Group",Санкт-Петербург
0,Moscow Rust Meetup,16 августа 2019 г.,Rust в Москве,Москва
0,Виртуализация и управление на платформе IBM Linux on POWER,4 июля 2018 г.,IBM Power Moscow.,Москва
0,Dynamics365 User Group Meetup #3,28 февраля 2018 г.,Dynamics365 Russian User Group,Москва
0,Flutter Study Jam 2019,7 сентября 2019 г.,GDG Nizhny Novgorod,Нижний Новгород
0,SPbR #7,15 апреля 2017 г.,St. Petersburg R User Group,Санкт-Петербург
0,Biohacking - Social #3 Meeting with speakers Denis Varvanets & Artyom Vasilyev,27 апреля 2019 г.,Biohackers Moscow,Moskva
0,Google I/O Extended Recap 2019,9 июля 2019 г.,GDG Nizhny Novgorod,Нижний Новгород
0,Пятая регулярная встреча,27 октября 2016 г.,Scala Moscow,Москва
0,SPb Scala Meetup 2018.4,30 октября 2018 г.,SPb Scala User Group,Санкт-Петербург
0,Шестая встреча общества анонимных тестировщиков,28 марта 2019 г.,Общество анонимных тестировщиков,Moskva
0,Data Science for All: It's a Whole New Game,1 ноября 2017 г.,Big Data Developers in Moscow,Москва
0,Virtual HUG: HashiConf 2018 Opening Keynote Viewing Party,23 октября 2018 г.,"St. Petersburg, Russia HashiCorp User Group",
0,WebDev Trends 2019,27 сентября 2019 г.,GetIT Community,Moskva
0,OWASP Russia Meetup #4,17 марта 2016 г.,OWASP Moscow Chapter,Москва
0,Business Analysts Meetup №1 2020,25 февраля 2020 г.,EPAM IT Events,Saint Petersburg
0,Zabbix Moscow Meetup 2018,23 июня 2018 г.,Zabbix Moscow Meetup,Москва
0,IT Professional Networking Meetup,15 мая 2018 г.,St. Petersburg IT Professional Networking Meetup,Санкт-Петербург
0,DevFest Kaliningrad #5,28 сентября 2019 г.,GDG Kaliningrad,
0,MOSDROID #17 Chlorine,30 мая 2019 г.,MOSDROID,Москва
0,Ищем и находим - встреча ElasticsearchMsk 20.12.18,20 декабря 2018 г.,Elasticsearch Moscow,Москва
0,Большая мобильная битва: Xamarin vs React.Native vs Apache Cordova,27 июня 2019 г.,Moscow North-East FrontEnd Talks,Moskva
0,"Блокчейн конференция «ICO, платежные системы»",28 января 2017 г.,iBlockchain World,Москва
0,Flutter Study Jam,9 декабря 2019 г.,GDG Ulan-Ude,Улан-Удэ
0,Scrum Day осень 2018,8 октября 2018 г.,Inspired by Agile Moscow Meetup,Москва
0,Hashgraph Meetup in Saint-Petersburg,6 марта 2018 г.,Hedera Hashgraph - Saint Petersburg,Санкт-Петербург
0,Saint Petersburg Bitrise Meetup,27 февраля 2020 г.,EPAM IT Events,Sankt-Peterburg
0,BeerPHP Moscow #0 (Pilot),25 декабря 2018 г.,BeerPHP Moscow,Moskva
0,South DevFest 2018,3 ноября 2018 г.,GDG Rostov-on-Don,Rostov-on-Don
0,Цифровой директор: Видеоаналитика в промышленности,5 марта 2020 г.,Сообщество CIO: Цифровой Директор (Moscow),Moskva
0,DevOps Spring ITGM#14,23 марта 2019 г.,DevOps-40,Sankt-Peterburg
0,Кофе и аналитики. Митап,18 апреля 2020 г.,Moscow School of Business Analysis,Москва
0,SPbR #13,8 декабря 2018 г.,St. Petersburg R User Group,Санкт-Петербург
0,Data Geeks Meetup #1,13 сентября 2017 г.,Data Geeks Community,Москва
0,Droid Party,5 июля 2017 г.,Yandex Novosibirsk Events for Developers,Новосибирск
0,Go Study Innopolis,6 февраля 2020 г.,GDG Cloud Innopolis,Innopolis
0,Java Community (JUGNsk) Meetup #8,16 мая 2019 г.,JUGNsk,Новосибирск
0,MOSDROID #19 Potassium,13 сентября 2019 г.,MOSDROID,Москва
0,PyData SPb 2018,27 октября 2018 г.,PyData SPb,Санкт-Петербург
0,Kubernetes - from Zero to Hero,6 марта 2018 г.,Kubernetes Novosibirsk,Новосибирск
0,Играем в getKanban - игра-симулятор работы с потоком в Kanban,13 апреля 2019 г.,"Agile Ufa (Scrum, Kanban, Lean, и все про бизнес-процессы)",Уфа
0,@Kubernetes Meetup #3 в офисе Mail.ru,21 июня 2019 г.,"@Kubernetes, @DevOps, @Databases в Mail.ru Group",Moskva
0,1) ИИ: просто о сложном и 2) микросервисы на C#,14 ноября 2019 г.,Московский клуб программистов,Москва
0,Первая встреча KrdDotNet!,3 октября 2019 г.,KrdDotNet,Краснодар
0,[СПБ] Облака в цифровизации: управление проектами цифровой трансформации,12 сентября 2019 г.,"Цифровые трансформации(Облака, Agile, PM)",Sankt-Peterburg
0,"Вебинар: Распределенные системы, колокация данных и SQL",29 ноября 2018 г.,Moscow In-Memory Computing Meetup,
0,SPb Python Drinkup,23 апреля 2020 г.,SPb Python Community,
0,Открытый мастер-класс «Web-дизайн: с чего начать?»,30 января 2020 г.,Международная Школа Дизайна (Санкт-Петербург),Санкт-Петербург
0,"Семинар на тему ""Математические основы алгоритмов машинного обучения""",29 февраля 2020 г.,GDG Magas,Назрань
0,I/O 2019 Extended  - Viewing Party,7 мая 2019 г.,GDG Nizhny Novgorod,Нижний Новгород
0,Go Party! ^.^,30 марта 2018 г.,GolangNSK,Новосибирск
0,English Club with Nataly — Better conversations,1 марта 2020 г.,English Club with Nataly,
0,DevOps Meetup #1 --- люди и технологии в DevOps,21 марта 2019 г.,DevOps Moscow in Russian,Moskva
0,Moscow English Speaking Club for Programmers SPEAK++,8 февраля 2020 г.,Moscow English Speaking Club for Programmers SPEAK++,Moskva
0,@DevOps Meetup #2 в офисе Mail.ru,22 августа 2019 г.,"@Kubernetes, @DevOps, @Databases в Mail.ru Group",Moskva
0,Solution Architecture Day #2,1 февраля 2020 г.,EPAM IT Events,Saint Petersburg
0,Flutter study jam. Lesson 2,24 ноября 2018 г.,GDG Krasnodar,Краснодар
0,Fuckup Nights Vol. XV,6 ноября 2018 г.,Digital October,Москва
0,Лекция «Основы Блокчейн»,20 мая 2019 г.,iBlockchain World,Moskva
0,"Community Day: Cloud Migration, Containers, Kubernetes, and Microservices",14 ноября 2019 г.,Apache Spark in Moscow,
0,Новогодняя встреча сообщества Apache Ignite,26 декабря 2018 г.,St. Petersburg Apache Ignite® Meetup,Санкт-Петербург
0,Java Community (JUGNsk) Meetup #5,15 декабря 2018 г.,JUGNsk,Новосибирск
0,PHP - live talking ,8 февраля 2020 г.,GDG Krasnoyarsk,Krasnoyarsk
0,"Spies vs Intels on Friday Night. Шпионы и разведчики - пятница,ночь...",6 марта 2020 г.,Language Club MERGE,Moskva
0,Раскрываем чакры таргетинга бесплатно | онлайн-воркшоп,29 января 2020 г.,SPECIA,
0,FP Specialty #7: Purely Functional Data Structures,18 января 2020 г.,Functional Programming Specialty,Новосибирск
0,Hacktoberfest 2019 @ Innopolis,18 октября 2019 г.,GDG Cloud Innopolis,Innopolis
0,Митап «Коммуникации в дизайне»,20 февраля 2019 г.,Lectorium POTOK,Новосибирск
0,IT Recruiter Drinkup,18 марта 2020 г.,SPb IT Recruiter,Sankt-Peterburg
0,PM Lunch in Futura 22.09,22 сентября 2019 г.,PM lunch (St. Petersburg),Sankt-Peterburg
0,WTF Non Abstract Large System Design (NALSD),27 сентября 2018 г.,Kaliningrad Distributed Systems Meetup,Калининград
0,Go Study Innopolis Lesson 5,5 марта 2020 г.,GDG Cloud Innopolis,Innopolis
0,DΛTA GEEKS MEET∩P: ΛI (6/AI),4 июня 2018 г.,Data Geeks Community,Москва
0,Python meetup #1,13 февраля 2020 г.,GDG Kaliningrad,Калининград
0,SPb-Reliability and TechTrain 2019,24 августа 2019 г.,SPb Reliability Meetup,St Petersburg
0,Бесплатный курс  занятий “JavaScript” для всех желающих,1 февраля 2020 г.,GDG Magas,Назрань
0,Тематические митапы HUG. Митап 2: Масштабирование баз данных,31 октября 2018 г.,HighLoad User Group,Москва
0,Четвертая встреча Front-End разработчиков,20 декабря 2015 г.,Tomsk Front-end Development Meetup,Томск
0,WiBD Meetup: Распознавание речи | Базы данных | Как построить эффективное резюме,9 ноября 2019 г.,Women in Big Data (Russian Chapter),Nizhnij Novgorod
0,Hacktoberfest,9 октября 2019 г.,GDG Kazan,Казань
0,Community Day: Z Day - High-End Computing,21 ноября 2019 г.,Apache Spark in Moscow,
0,GetIT Meetup #2,1 марта 2019 г.,GetIT Community,Moskva
0,"WE SPEAK ENGLISH. We chat, play board games and party games.",14 марта 2020 г.,Language Club MERGE,Москва
0,Waves Community Meetup: Blockchain for the people,16 августа 2018 г.,Digital October,Москва
0,Moscow English Speaking Club for Programmers SPEAK++,22 февраля 2020 г.,Moscow English Speaking Club for Programmers SPEAK++,Moskva
0,SPb Scala Meetup 2018.3,19 июля 2018 г.,SPb Scala User Group,Санкт-Петербург
0,Встреча разработчиков игр в Мурманске,17 ноября 2016 г.,Сообщество разработчиков игр (Мурманск),Мурманск
0,Пятничная встреча MLUG / MLUG friday's meetup,12 июня 2020 г.,Moscow GNU/Linux User Group,Москва
0,Deploy AI - Community Day,10 марта 2020 г.,Apache Spark in Moscow,
0,Работа с удаленными и распределенными командами,10 февраля 2020 г.,Фасилитация Agile,Moskva
0,ИТ-лидеры и изменения. Технологические тренды,28 февраля 2018 г.,SOFTER Open Meetups,Москва
0,LeSS Day 16 июля,16 июля 2018 г.,Large Scale Scrum (LeSS) Russia,
0,Постгрес-вторник,24 марта 2020 г.,#RuPostgres,
0,Анализ данных и управленческая отчетность в Google Spreadsheets,27 апреля 2020 г.,Moscow School of Business Analysis,Москва
0,Msk Jenkins Meetup #4,19 июля 2018 г.,Moscow Jenkins Meetup,Москва
0,Ноябрьский Митап в IBM!,17 ноября 2017 г.,Docker Moscow,Москва
0,Repository pattern,16 ноября 2019 г.,GDG Krasnoyarsk,Krasnoyarsk
0,GDG Gamedev #1,13 октября 2018 г.,GDG Tyumen,Tyumen
0,Вебинар. DevOps-решения: ускорить запуск продуктов и сэкономить,18 февраля 2020 г.,Мероприятия Яндекс.Облака для разработчиков,
0,Founders&Products Brunch,23 февраля 2020 г.,FoundersDevelopers / WorldModel,Moskva
0,Настольная Scrum игра!!!,25 января 2017 г.,AgilePeople.Ru,Санкт-Петербург
0,Ноябрьский митап 2019. Девопс / Блокчейн / Современная инженерия ,15 ноября 2019 г.,Zelenograd Dev Meetup,Зеленоград
0,What’s new in the Elastic Stack 6?,23 ноября 2017 г.,Moscow Big Systems/Big Data,Москва
0,Spb Angular Meetup #2,31 мая 2018 г.,Angular Piter,Saint Petersburg
0,SPb Scala Meetup 2019.1,21 ноября 2019 г.,SPb Scala User Group,Sankt-Peterburg
0,SPb Python Drinkup,26 марта 2020 г.,SPb Python Community,
0,Windows Developer Day viewing party (10 октября),10 октября 2017 г.,GeekDev,
0,Встречаем Хэллоуин и обсуждаем кто как читает,31 октября 2019 г.,Московский клуб программистов,Москва
0,Chaos Conf,25 августа 2018 г.,Embedded Systems Meetup St. Petersburg,Санкт-Петербург
0,Meetup # 10,3 ноября 2016 г.,St. Petersburg Data Science,Saint Petersburg
0,Февральский митап 2020. Облака / Как научить ребенка программировать.,19 февраля 2020 г.,Zelenograd Dev Meetup,Зеленоград
0,Any topic meetup,22 марта 2017 г.,Yekaterinburg Geeks Meetup,Екатеринбург
0,ScalaNsk meeting #2,28 июня 2013 г.,Novosibirsk Scala Enthusiasts,Новосибирск
0,Continuous code quality в java проектах. Формальные методы анализа алгоритмов. ,17 апреля 2019 г.,Moscow Big Systems/Big Data,Москва
0,Flutter Study Jam,8 сентября 2019 г.,GDG Moscow,Moskva
0,HadoopKitchen,27 сентября 2014 г.,Hadoop Moscow,Москва
0,Angular/React/Vue.js: Как работает рендеринг,28 февраля 2019 г.,GDG Astrakhan,Astrakhan
0,Hash Code 2020 (Online Qualification Round),20 февраля 2020 г.,GDG Moscow,Москва
0,Стенд Atlassian Community: вопросы и ответы на Ufa Developer Conference,30 ноября 2019 г.,Ufa Atlassian User Group,Уфа
0,"Index Meetup ""HR Jackpot""",14 декабря 2018 г.,IndexMeetup,Москва
0,Онлайн-сервисы в автобизнесе - зачем и как использовать?,25 июля 2019 г.,Автобизнес новой реальности,Москва
0,Анализ данных и управленческая отчетность в Google Spreadsheets,21 ноября 2019 г.,Moscow School of Business Analysis,Москва
0,Вебинар: Troubleshooting Apache® Ignite™,12 марта 2019 г.,St. Petersburg Apache Ignite® Meetup,
0,Dynamics 365 и Power Platform митап. Москва,11 февраля 2020 г.,Dynamics365 Russian User Group,Moskva
0,Март 2020 начинаем в гостях у МегаФона,12 марта 2020 г.,Moscow Atlassian User Group,Moskva
0,Tutu PHP Meetup,5 апреля 2018 г.,Moscow PHP Meetup,Москва
0,Code Contribution Day: Вместе c Лейпцигом,16 июня 2018 г.,Moscow Magento Meetup,Москва
0,SymСode St. Petersburg Meetup #8 - JetBrains (18 dec 2019),18 декабря 2019 г.,SymCode,Sankt-Peterburg
0,Weekly Peaches - online meetups with YCombinator Startup School moderators,20 апреля 2019 г.,Startup and Entrepreneurs Community at GrowUp,
0,TestTrend | Томск | 27.02.20,27 февраля 2020 г.,IT События ЦФТ,Томск
0,Я.Субботник по базам данных,31 марта 2018 г.,Yandex St.Petersburg Events for Developers,Saint Petersburg
0,Symfony St. Petersburg Meetup #3 - JetBrains (14 mar 2018),14 марта 2018 г.,SymCode,Санкт-Петербург
0,День из жизни Скрам-мастера,19 февраля 2020 г.,Agile Lean Moscow,Москва
0,English Speaking Club,3 января 2020 г.,Бесплатный Английский Разговорный клуб,Москва
0,Вебинар: Консольные инструменты диагностики JDK,26 февраля 2019 г.,Moscow Big Systems/Big Data,
0,Let's actually meetup,22 октября 2015 г.,Moscow NodeJS Meetup,Москва
0,International Women's Day Meetup,8 марта 2020 г.,GDG Vladivostok,Владивосток
0,"Index Meetup ""IT-рекрутинг и сервисы для личных знакомств: за и против""",14 февраля 2019 г.,IndexMeetup,Москва
0,English Speaking Club,15 февраля 2020 г.,Бесплатный Английский Разговорный клуб,Москва
0,Android Developers Meetup,15 октября 2019 г.,GDG Kazan,Казань
0,Practice Russian. ГОВОРИМ ПО РУССКИ.,14 марта 2020 г.,Language Club MERGE,Москва
0,November 2016 meetup,25 ноября 2016 г.,Moscow Data Science,Москва
0,Java Community (JUGNsk) Meetup #6,27 февраля 2019 г.,JUGNsk,Новосибирск
0,Встреча сообщества IT Pro - Октябрь 2019,3 октября 2019 г.,Сообщество IT Pro в Москве,Moskva
0,"Митап в августе: Vue.js, беспилотники и летняя школа гейм-дизайна",8 августа 2018 г.,Zelenograd Dev Meetup,Зеленоград
0,SPb IT Recruiter Drinkup,16 января 2020 г.,SPb IT Recruiter,Sankt-Peterburg
0,DevDay 48,18 декабря 2019 г.,DevDay (Kazan),Казань
0,kubernetes spb meetup #3,26 февраля 2019 г.,Kubernetes spb,Санкт-Петербург
0,День открытых дверей ,6 февраля 2020 г.,Международная Школа Дизайна (Санкт-Петербург),Санкт-Петербург
0,Что фасилитатор может сделать чтобы обсуждение принесло результат,2 марта 2020 г.,Фасилитация Agile,Moskva
0,DΛTA GEEKS MEET∩P: Rebooting,29 ноября 2018 г.,Data Geeks Community,Москва
0,WAVES SUMMER ROADSHOW,20 июля 2018 г.,Digital October,Берлин
0,Субботняя встреча MLUG / MLUG saturday's meetup,25 января 2020 г.,Moscow GNU/Linux User Group,Москва
0,Biohacking • Social #1 Kick-Off Meeting!,23 октября 2018 г.,Biohackers Moscow,Москва
0,Qlik Russian Meetup #1: Скоро новый год,17 декабря 2019 г.,Qlik Meetups - Russia,Москва
0,Стипендия WomenTechMakers : инструкция к применению,21 ноября 2019 г.,GDG Krasnodar,Краснодар
0,"""Почему анимация продает? Коммерческий феномен motion в продвижении бренда""",28 ноября 2019 г.,Международная Школа Дизайна (Санкт-Петербург),
0,Flutter Study Jam,2 декабря 2019 г.,GDG Ulan-Ude,Улан-Удэ
0,SPbR #11,21 апреля 2018 г.,St. Petersburg R User Group,Санкт-Петербург
0,Как устроен бэкенд автомобильной маршрутизации,29 ноября 2018 г.,Yandex Moscow Events for Developers,Москва
0,Встреча #8,25 сентября 2018 г.,SPb Azure Interest Group,Санкт-Петербург
0,Первый митап сообщества VolgaJS,11 сентября 2019 г.,Saratov IT,Саратов
0,Clojure(Script) митап,24 ноября 2017 г.,Moscow Clojure Meetup,Москва
0,English Club with Nataly — English.Light (Elementary & Pre-Intermediate),1 марта 2020 г.,English Club with Nataly,
0,Lean Coffee со Стори Маппингом 24 августа,24 августа 2015 г.,St. Petersburg Lean Coffee,Санкт-Петербург
0,PiterPy Meetup,10 марта 2020 г.,PiterPy Meetup,
0,SPECIA CONF: growth hacking,5 декабря 2019 г.,SPECIA,Sankt-Peterburg
0,WP Moscow #4 - Настройки темы: Customizer или ACF? Дизайн: Ux или Ui ?,15 ноября 2018 г.,WordPress Moscow,Москва
0,ElixirLangMoscow Meetup #5 (RamblerElixir #3),14 июня 2017 г.,Elixir Lang Moscow,Москва
0,"Конференция ""инновационный Блокчейн в банковском секторе""",11 февраля 2017 г.,iBlockchain World,Москва
0,COBIT 5 в Cradle для систематизации ИТ-процессов ,20 февраля 2018 г.,CradleCreativeProjects,
0,SharePoint & Office 365 Saint-Petersburg - 6 декабря 2019,6 декабря 2019 г.,SharePoint and Office 365 Community Moscow,Москва
0,"AWSRus #6, 6 December 2018",6 декабря 2018 г.,AWS User Group Россия (СПб),Санкт-Петербург
